episode,coverage,steps,success,epsilon
1,1.000000,524,1,1.000000
2,1.000000,661,1,0.998000
3,1.000000,709,1,0.996004
4,1.000000,732,1,0.994012
5,1.000000,690,1,0.992024
6,1.000000,964,1,0.990040
7,1.000000,574,1,0.988060
8,1.000000,701,1,0.986084
9,1.000000,580,1,0.984112
10,1.000000,461,1,0.982143
11,1.000000,670,1,0.980179
12,1.000000,513,1,0.978219
13,1.000000,511,1,0.976262
14,1.000000,1242,1,0.974310
15,1.000000,969,1,0.972361
16,1.000000,644,1,0.970416
17,1.000000,580,1,0.968476
18,1.000000,812,1,0.966539
19,1.000000,481,1,0.964606
20,1.000000,682,1,0.962676
21,1.000000,434,1,0.960751
22,1.000000,443,1,0.958829
23,1.000000,689,1,0.956912
24,1.000000,535,1,0.954998
25,1.000000,1017,1,0.953088
26,1.000000,1369,1,0.951182
27,1.000000,687,1,0.949279
28,1.000000,722,1,0.947381
29,1.000000,1136,1,0.945486
30,1.000000,912,1,0.943595
31,1.000000,623,1,0.941708
32,1.000000,765,1,0.939825
33,1.000000,489,1,0.937945
34,1.000000,1141,1,0.936069
35,1.000000,1311,1,0.934197
36,1.000000,2170,1,0.932328
37,1.000000,493,1,0.930464
38,1.000000,821,1,0.928603
39,1.000000,610,1,0.926746
40,1.000000,946,1,0.924892
41,1.000000,444,1,0.923042
42,1.000000,1821,1,0.921196
43,0.990000,2500,0,0.919354
44,1.000000,696,1,0.917515
45,1.000000,637,1,0.915680
46,1.000000,1025,1,0.913849
47,1.000000,1263,1,0.912021
48,1.000000,1432,1,0.910197
49,1.000000,1446,1,0.908377
50,1.000000,731,1,0.906560
51,1.000000,852,1,0.904747
52,1.000000,1070,1,0.902937
53,1.000000,1086,1,0.901131
54,1.000000,491,1,0.899329
55,1.000000,568,1,0.897531
56,1.000000,834,1,0.895735
57,1.000000,576,1,0.893944
58,1.000000,576,1,0.892156
59,1.000000,527,1,0.890372
60,1.000000,607,1,0.888591
61,1.000000,1377,1,0.886814
62,1.000000,710,1,0.885040
63,1.000000,794,1,0.883270
64,1.000000,1044,1,0.881504
65,1.000000,1886,1,0.879741
66,1.000000,893,1,0.877981
67,1.000000,559,1,0.876225
68,0.990000,2500,0,0.874473
69,1.000000,1710,1,0.872724
70,1.000000,1808,1,0.870978
71,0.990000,2500,0,0.869236
72,1.000000,497,1,0.867498
73,1.000000,563,1,0.865763
74,1.000000,1159,1,0.864031
75,1.000000,1173,1,0.862303
76,1.000000,789,1,0.860579
77,1.000000,743,1,0.858858
78,1.000000,737,1,0.857140
79,1.000000,1311,1,0.855426
80,1.000000,1799,1,0.853715
81,1.000000,789,1,0.852007
82,1.000000,848,1,0.850303
83,1.000000,1788,1,0.848603
84,1.000000,454,1,0.846905
85,1.000000,709,1,0.845212
86,1.000000,1403,1,0.843521
87,1.000000,909,1,0.841834
88,1.000000,776,1,0.840151
89,1.000000,951,1,0.838470
90,1.000000,1239,1,0.836793
91,0.980000,2500,0,0.835120
92,1.000000,629,1,0.833449
93,1.000000,646,1,0.831783
94,1.000000,967,1,0.830119
